Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-2023-00050,2023-09-17,2023-09-22,Standard Class,CUS-8619,Linda White B,Consumer,Madison,Wisconsin,Central,Office Supplies,Labels,Address Labels,30.81,1,0.0,18.46
ORD-2023-00051,2023-09-12,2023-09-18,Standard Class,CUS-8832,Matthew Taylor C,Home Office,Springfield,Massachusetts,East,Furniture,Furnishings,Picture Frame,495.71,4,0.15,127.52
ORD-2022-00052,2022-11-08,2022-11-11,Second Class,CUS-6003,Patricia Lee J,Consumer,Indianapolis,Indiana,Central,Technology,Phones,Desk Phone,489.61,3,0.0,62.86
ORD-2023-00053,2023-08-04,2023-08-09,Standard Class,CUS-7110,Lisa Davis O,Home Office,Colorado Springs,Colorado,West,Office Supplies,Fasteners,Stapler,73.46,1,0.2,27.46
ORD-2023-00054,2023-01-23,2023-01-28,Standard Class,CUS-8550,Joseph Smith V,Home Office,Nashville,Tennessee,South,Office Supplies,Binders,Report Cover,164.76,2,0.15,28.25
ORD-2023-00055,2023-02-22,2023-03-01,Standard Class,CUS-4149,Mark Nguyen M,Consumer,Rochester,New York,East,Furniture,Tables,Corner Desk,698.12,5,0.3,-37.79
ORD-2022-00056,2022-06-25,2022-07-02,Standard Class,CUS-3158,Dorothy King,Home Office,Boston,Massachusetts,East,Furniture,Bookcases,3-Shelf Bookcase,805.73,6,0.0,55.48
ORD-2022-00057,2022-10-11,2022-10-16,Standard Class,CUS-5123,Joshua Williams U,Consumer,Chicago,Illinois,Central,Technology,Copiers,Canon Copier,340.46,2,0.1,36.78
ORD-2022-00058,2022-10-02,2022-10-05,First Class,CUS-8625,James Taylor R,Home Office,New Orleans,Louisiana,South,Furniture,Furnishings,Coat Rack,388.28,1,0.2,-27.62
ORD-2022-00059,2022-02-05,2022-02-12,Standard Class,CUS-1860,Margaret Wilson L,Corporate,Ann Arbor,Michigan,Central,Technology,Machines,All-in-One Printer,534.41,2,0.0,169.48
ORD-2022-00060,2022-07-15,2022-07-21,Standard Class,CUS-9920,Kimberly Anderson O,Corporate,Madison,Wisconsin,Central,Office Supplies,Fasteners,Paper Clips,275.53,2,0.1,17.04
ORD-2023-00061,2023-02-03,2023-02-08,Standard Class,CUS-7291,John Allen Z,Corporate,Tampa,Florida,South,Furniture,Chairs,Folding Chair,208.56,2,0.0,51.08
ORD-2023-00062,2023-12-02,2023-12-09,Standard Class,CUS-7561,Ashley Walker Y,Corporate,Columbus,Ohio,Central,Technology,Accessories,Wireless Mouse,574.29,1,0.0,91.29
ORD-2022-00063,2022-05-19,2022-05-25,Standard Class,CUS-5523,Mary Garcia G,Consumer,Trenton,New Jersey,East,Technology,Machines,HP LaserJet Printer,211.5,4,0.1,52.51
ORD-2022-00064,2022-03-19,2022-03-22,First Class,CUS-2109,Donna Garcia V,Corporate,Allentown,Pennsylvania,East,Technology,Phones,Samsung Galaxy Phone,157.46,1,0.15,3.79
ORD-2023-00065,2023-12-11,2023-12-11,Same Day,CUS-9635,Christopher Garcia D,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,Samsung Galaxy Phone,1276.26,4,0.2,165.19
ORD-2022-00066,2022-09-04,2022-09-10,Standard Class,CUS-2673,Thomas Taylor,Consumer,Springfield,Massachusetts,East,Technology,Copiers,Ricoh Copier,1516.7,2,0.0,71.39
ORD-2022-00067,2022-03-25,2022-03-31,Standard Class,CUS-5374,Betty Sanchez,Consumer,Chicago,Illinois,Central,Office Supplies,Fasteners,Stapler,95.35,3,0.0,32.41
ORD-2023-00068,2023-02-13,2023-02-15,First Class,CUS-0407,Paul Rodriguez C,Consumer,Jacksonville,Florida,South,Furniture,Bookcases,Corner Bookcase,682.94,4,0.15,38.44
ORD-2023-00069,2023-03-26,2023-03-30,Second Class,CUS-9656,Richard Miller G,Consumer,Springfield,Illinois,Central,Furniture,Tables,Folding Table,408.66,3,0.15,106.34
ORD-2022-00070,2022-06-25,2022-06-30,Standard Class,CUS-4765,Joshua Jones Q,Home Office,Trenton,New Jersey,East,Furniture,Bookcases,Stackable Bookcase,228.29,5,0.0,8.69
ORD-2022-00071,2022-10-05,2022-10-05,Same Day,CUS-7828,Margaret Lopez Q,Consumer,Reno,Nevada,West,Office Supplies,Supplies,Glue Sticks,219.15,1,0.0,47.04
ORD-2023-00072,2023-10-02,2023-10-09,Standard Class,CUS-0056,Nancy Anderson C,Consumer,Worcester,Massachusetts,East,Office Supplies,Paper,Copy Paper,561.75,1,0.0,132.01
ORD-2023-00073,2023-10-18,2023-10-20,First Class,CUS-1334,Dorothy Hill K,Consumer,Huntsville,Alabama,South,Furniture,Bookcases,Corner Bookcase,483.2,9,0.2,6.81
ORD-2023-00074,2023-12-03,2023-12-08,Second Class,CUS-3885,Linda Thomas Q,Corporate,San Francisco,California,West,Technology,Copiers,Sharp Copier,2329.43,3,0.1,251.88
ORD-2023-00075,2023-06-22,2023-06-25,Second Class,CUS-0019,Jennifer Scott Y,Home Office,Springfield,Illinois,Central,Furniture,Furnishings,Picture Frame,47.04,6,0.0,10.37
ORD-2022-00076,2022-06-10,2022-06-13,First Class,CUS-3894,Michael Brown U,Consumer,Mesa,Arizona,West,Furniture,Bookcases,Corner Bookcase,738.23,5,0.3,-46.31
ORD-2023-00077,2023-01-12,2023-01-17,Standard Class,CUS-0205,Karen Martin,Consumer,Salem,Oregon,West,Furniture,Tables,Standing Desk,328.07,1,0.0,67.96
ORD-2022-00078,2022-11-11,2022-11-11,Same Day,CUS-2673,Thomas Taylor,Corporate,Atlanta,Georgia,South,Furniture,Tables,Folding Table,391.46,2,0.0,137.86
ORD-2023-00079,2023-04-18,2023-04-24,Standard Class,CUS-3814,Jessica Taylor A,Consumer,Savannah,Georgia,South,Technology,Copiers,Sharp Copier,551.54,5,0.3,50.77
ORD-2022-00080,2022-10-05,2022-10-10,Standard Class,CUS-8127,Jessica Thomas,Home Office,Durham,North Carolina,South,Furniture,Chairs,Stacking Chair,101.4,1,0.2,8.36
ORD-2023-00081,2023-02-08,2023-02-14,Standard Class,CUS-0894,Elizabeth Hernandez G,Consumer,Hartford,Connecticut,East,Office Supplies,Labels,Address Labels,84.72,2,0.0,-3.7
ORD-2023-00082,2023-03-05,2023-03-11,Standard Class,CUS-7449,Jessica Gonzalez N,Consumer,New Orleans,Louisiana,South,Technology,Copiers,Sharp Copier,545.58,7,0.0,82.57
ORD-2023-00083,2023-02-25,2023-03-02,Standard Class,CUS-6286,Joshua Lee Z,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,Floor Mat,998.15,1,0.2,109.44
ORD-2022-00084,2022-12-05,2022-12-11,Standard Class,CUS-2352,Patricia Hernandez A,Home Office,Jersey City,New Jersey,East,Furniture,Furnishings,Wall Clock,328.48,1,0.1,7.71
ORD-2022-00085,2022-07-28,2022-07-31,Second Class,CUS-8283,Andrew Torres,Consumer,Raleigh,North Carolina,South,Technology,Phones,Google Pixel,268.41,1,0.0,84.95
ORD-2023-00086,2023-03-02,2023-03-09,Standard Class,CUS-4738,Sarah Robinson R,Consumer,Green Bay,Wisconsin,Central,Furniture,Furnishings,Coat Rack,204.83,5,0.0,71.99
ORD-2022-00087,2022-05-07,2022-05-12,Standard Class,CUS-0019,Jennifer Scott Y,Consumer,Worcester,Massachusetts,East,Technology,Copiers,Sharp Copier,1065.95,5,0.0,159.28
ORD-2022-00088,2022-11-11,2022-11-16,Standard Class,CUS-4832,Charles Wilson U,Consumer,Grand Rapids,Michigan,Central,Technology,Copiers,Sharp Copier,866.68,2,0.2,64.07
ORD-2023-00089,2023-02-24,2023-03-01,Standard Class,CUS-2065,John Jones,Consumer,Birmingham,Alabama,South,Technology,Machines,Desktop Computer,268.37,2,0.1,28.78
ORD-2023-00090,2023-03-23,2023-03-29,Standard Class,CUS-4924,Mark Scott T,Consumer,Tampa,Florida,South,Technology,Copiers,Ricoh Copier,618.17,1,0.15,63.97
ORD-2022-00091,2022-01-05,2022-01-10,Second Class,CUS-8932,Emily Ramirez A,Consumer,Orlando,Florida,South,Furniture,Tables,Round Table,330.71,8,0.0,83.73
ORD-2023-00092,2023-06-15,2023-06-15,Same Day,CUS-7508,Matthew Moore F,Consumer,Tucson,Arizona,West,Office Supplies,Labels,Name Tags,274.01,9,0.0,74.14
ORD-2023-00093,2023-09-04,2023-09-10,Standard Class,CUS-0093,Sandra Robinson,Consumer,Augusta,Georgia,South,Office Supplies,Supplies,Tape Dispenser,72.0,6,0.2,8.66
ORD-2022-00094,2022-11-28,2022-12-05,Standard Class,CUS-3445,Linda Johnson A,Home Office,Minneapolis,Minnesota,Central,Technology,Machines,Desktop Computer,512.62,4,0.0,148.04
ORD-2022-00095,2022-04-26,2022-05-01,Standard Class,CUS-8265,Joseph Jones X,Consumer,Tampa,Florida,South,Technology,Machines,All-in-One Printer,374.51,3,0.0,22.04
ORD-2023-00096,2023-09-14,2023-09-15,Same Day,CUS-8619,Linda White B,Home Office,Pittsburgh,Pennsylvania,East,Technology,Phones,Desk Phone,158.93,3,0.0,61.02
ORD-2022-00097,2022-03-14,2022-03-17,Second Class,CUS-4359,Joseph Williams Q,Home Office,Newark,New Jersey,East,Office Supplies,Storage,Storage Box,128.0,1,0.3,35.4
ORD-2023-00098,2023-04-21,2023-04-25,Second Class,CUS-3894,Michael Brown U,Consumer,Reno,Nevada,West,Technology,Phones,Wireless Headset,631.53,3,0.0,68.99
ORD-2023-00099,2023-10-02,2023-10-07,Standard Class,CUS-0351,Richard Wright O,Corporate,Rockville,Maryland,East,Office Supplies,Art,Paint Set,164.8,1,0.3,16.11
ORD-2023-00100,2023-04-26,2023-04-29,First Class,CUS-9025,Karen Allen U,Corporate,Detroit,Michigan,Central,Technology,Phones,iPhone Pro,424.81,2,0.0,50.34
ORD-2023-00101,2023-12-28,2024-01-03,Standard Class,CUS-4416,Thomas Williams V,Corporate,Eugene,Oregon,West,Technology,Phones,Google Pixel,214.73,1,0.2,-10.89
ORD-2023-00102,2023-07-28,2023-08-01,Second Class,CUS-4684,Susan Lee Z,Consumer,Spokane,Washington,West,Technology,Machines,Brother Inkjet Printer,366.06,2,0.3,29.82
ORD-2023-00103,2023-01-03,2023-01-10,Standard Class,CUS-8849,Donna Flores,Consumer,Atlanta,Georgia,South,Technology,Machines,HP LaserJet Printer,311.68,2,0.2,-8.54
ORD-2022-00104,2022-07-05,2022-07-12,Standard Class,CUS-1286,Richard Gonzalez,Corporate,Madison,Wisconsin,Central,Office Supplies,Paper,Notebook,66.45,3,0.1,-6.03
ORD-2023-00105,2023-09-09,2023-09-14,Second Class,CUS-1260,Robert Perez Y,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,File Labels,110.97,5,0.0,21.66
ORD-2022-00106,2022-01-02,2022-01-09,Standard Class,CUS-4610,Patricia Sanchez L,Corporate,Madison,Wisconsin,Central,Technology,Copiers,Xerox Machine,566.46,1,0.1,47.24
ORD-2023-00107,2023-10-11,2023-10-16,Second Class,CUS-0056,Nancy Anderson C,Consumer,Shreveport,Louisiana,South,Office Supplies,Supplies,Scissors,650.0,4,0.15,109.44
ORD-2022-00108,2022-10-16,2022-10-23,Standard Class,CUS-3885,Linda Thomas Q,Corporate,Las Vegas,Nevada,West,Technology,Copiers,Xerox Machine,766.11,4,0.15,22.04
ORD-2022-00109,2022-10-23,2022-10-28,Standard Class,CUS-0972,Richard Jackson G,Consumer,New Haven,Connecticut,East,Office Supplies,Storage,Magazine Rack,201.68,2,0.2,52.16
ORD-2022-00110,2022-12-05,2022-12-08,Second Class,CUS-9170,Jennifer Nguyen E,Corporate,Saint Paul,Minnesota,Central,Technology,Copiers,Ricoh Copier,627.73,7,0.1,109.91
ORD-2023-00111,2023-10-16,2023-10-21,Standard Class,CUS-7544,Patricia Brown K,Consumer,Fort Wayne,Indiana,Central,Furniture,Bookcases,Stackable Bookcase,107.13,4,0.2,-1.22
ORD-2023-00112,2023-05-04,2023-05-09,Second Class,CUS-3944,William White H,Home Office,Memphis,Tennessee,South,Furniture,Bookcases,5-Shelf Bookcase,374.47,1,0.2,64.86
ORD-2022-00113,2022-04-27,2022-05-01,Second Class,CUS-8849,Donna Flores,Home Office,Houston,Texas,Central,Technology,Accessories,Wireless Mouse,537.8,7,0.0,111.92
ORD-2023-00114,2023-06-23,2023-06-26,Second Class,CUS-7159,Andrew Garcia E,Home Office,Sacramento,California,West,Furniture,Furnishings,Coat Rack,1500.0,1,0.1,150.36
ORD-2022-00115,2022-11-19,2022-11-26,Standard Class,CUS-6682,Donald Scott I,Consumer,Pittsburgh,Pennsylvania,East,Furniture,Chairs,Conference Chair,426.33,8,0.1,92.51
ORD-2022-00116,2022-06-10,2022-06-17,Standard Class,CUS-3158,Dorothy King,Consumer,Augusta,Georgia,South,Office Supplies,Envelopes,Business Envelopes,160.69,1,0.2,31.96
ORD-2022-00117,2022-12-11,2022-12-18,Standard Class,CUS-3466,Karen Sanchez N,Consumer,Tacoma,Washington,West,Technology,Copiers,Sharp Copier,648.0,1,0.0,53.95
ORD-2023-00118,2023-04-01,2023-04-07,Standard Class,CUS-7935,Barbara Jones P,Corporate,Colorado Springs,Colorado,West,Office Supplies,Envelopes,Padded Mailers,49.57,1,0.1,-7.21
ORD-2022-00119,2022-08-10,2022-08-16,Standard Class,CUS-7449,Jessica Gonzalez N,Consumer,Minneapolis,Minnesota,Central,Technology,Machines,Desktop Computer,1278.65,1,0.0,245.56
ORD-2023-00120,2023-07-23,2023-07-27,Second Class,CUS-5159,Elizabeth White W,Corporate,Tacoma,Washington,West,Technology,Phones,Wireless Headset,935.28,4,0.0,288.62
ORD-2022-00121,2022-10-18,2022-10-23,Standard Class,CUS-9503,William Brown N,Corporate,Green Bay,Wisconsin,Central,Office Supplies,Binders,Presentation Binder,309.03,2,0.3,-7.38
ORD-2022-00122,2022-09-14,2022-09-21,Standard Class,CUS-8853,Matthew Hill J,Consumer,Jersey City,New Jersey,East,Technology,Machines,HP LaserJet Printer,247.59,5,0.0,37.15
ORD-2023-00123,2023-12-03,2023-12-06,Second Class,CUS-3814,Jessica Taylor A,Consumer,Hartford,Connecticut,East,Office Supplies,Fasteners,Stapler,504.14,5,0.15,59.68
ORD-2023-00124,2023-07-13,2023-07-20,Standard Class,CUS-2073,John Harris I,Corporate,Reno,Nevada,West,Furniture,Tables,Corner Desk,124.62,1,0.0,47.69
ORD-2023-00125,2023-08-22,2023-08-25,First Class,CUS-9942,Joseph Miller E,Consumer,Atlanta,Georgia,South,Office Supplies,Labels,Address Labels,201.9,8,0.0,18.45
ORD-2022-00126,2022-04-07,2022-04-12,Standard Class,CUS-3686,Jessica Nguyen T,Consumer,Stamford,Connecticut,East,Technology,Phones,iPhone Pro,2000.0,2,0.0,434.03
ORD-2022-00127,2022-03-17,2022-03-22,Standard Class,CUS-1545,Paul Thomas L,Consumer,Bloomington,Indiana,Central,Technology,Machines,Brother Inkjet Printer,185.62,11,0.3,-14.23
ORD-2022-00128,2022-09-19,2022-09-21,First Class,CUS-3885,Linda Thomas Q,Consumer,Montgomery,Alabama,South,Furniture,Bookcases,Corner Bookcase,243.15,4,0.15,-0.14
ORD-2023-00129,2023-04-28,2023-05-04,Standard Class,CUS-1260,Robert Perez Y,Corporate,Denver,Colorado,West,Technology,Copiers,Sharp Copier,555.03,1,0.0,63.42
ORD-2022-00130,2022-08-28,2022-09-02,Standard Class,CUS-5451,Steven Hill I,Home Office,San Diego,California,West,Office Supplies,Paper,Copy Paper,84.39,3,0.3,-14.59
ORD-2023-00131,2023-05-01,2023-05-06,Standard Class,CUS-4416,Thomas Williams V,Corporate,Annapolis,Maryland,East,Furniture,Tables,Folding Table,110.63,2,0.1,13.98
ORD-2023-00132,2023-05-09,2023-05-16,Standard Class,CUS-4149,Mark Nguyen M,Consumer,Nashville,Tennessee,South,Technology,Copiers,Ricoh Copier,541.4,2,0.0,107.29
ORD-2022-00133,2022-01-09,2022-01-14,Second Class,CUS-7714,Patricia Davis F,Corporate,Charlotte,North Carolina,South,Furniture,Bookcases,3-Shelf Bookcase,130.81,6,0.2,32.81
ORD-2023-00134,2023-05-25,2023-05-30,Second Class,CUS-0004,Matthew Harris,Home Office,Nashville,Tennessee,South,Technology,Machines,Brother Inkjet Printer,748.58,3,0.0,245.03
ORD-2022-00135,2022-09-02,2022-09-09,Standard Class,CUS-8283,Andrew Torres,Home Office,Virginia Beach,Virginia,East,Office Supplies,Storage,Storage Box,60.5,1,0.0,7.13
ORD-2023-00136,2023-11-16,2023-11-21,Standard Class,CUS-3534,Susan Wilson,Corporate,Miami,Florida,South,Technology,Machines,Desktop Computer,2302.18,5,0.15,515.62
ORD-2022-00137,2022-02-17,2022-02-22,Standard Class,CUS-8853,Matthew Hill J,Consumer,Mesa,Arizona,West,Office Supplies,Labels,File Labels,53.97,2,0.15,-4.19
ORD-2022-00138,2022-05-22,2022-05-29,Standard Class,CUS-1863,Steven Allen,Corporate,Albany,New York,East,Office Supplies,Fasteners,Rubber Bands,97.57,1,0.0,21.11
ORD-2023-00139,2023-10-28,2023-11-04,Standard Class,CUS-2673,Thomas Taylor,Consumer,Philadelphia,Pennsylvania,East,Technology,Copiers,Ricoh Copier,1277.27,4,0.1,347.14
ORD-2022-00140,2022-03-28,2022-04-02,Standard Class,CUS-2221,Joshua Hernandez K,Consumer,Phoenix,Arizona,West,Technology,Copiers,Canon Copier,153.16,3,0.15,28.9
ORD-2023-00141,2023-12-05,2023-12-07,First Class,CUS-7365,Ashley Sanchez V,Corporate,Chicago,Illinois,Central,Office Supplies,Art,Markers Set,196.88,5,0.15,45.36
ORD-2023-00142,2023-08-16,2023-08-22,Standard Class,CUS-9329,Betty Rodriguez B,Corporate,Nashville,Tennessee,South,Technology,Copiers,Canon Copier,1458.28,1,0.0,368.17
ORD-2022-00143,2022-07-23,2022-07-25,First Class,CUS-5799,William Robinson M,Corporate,Raleigh,North Carolina,South,Furniture,Chairs,Executive Office Chair,105.71,2,0.1,-13.27
